Trägerschaft,Name Einrichtung,Einrichtungsart,Straße,Haus-nr.,Hausnummernzusatz,PLZ,Ort,Stadtbezirk Name,Stadtbezirknr.,Geokoordinaten Breite,Geokoordinaten Länge,ID Einrichtung
LHM,Haus für Kinder Franz-Nißl-Str. 57,HAUS_FUER_KINDER,Franz-Nißl-Str.,57,,80999,München,Allach-Untermenzing,23,48.189691,11.4548284,18993
LHM,Haus für Kinder Georg-Reismüller-Str. 40,HAUS_FUER_KINDER,Georg-Reismüller-Str.,40,,80999,München,Allach-Untermenzing,23,48.19554671,11.46281336,19065
LHM,Haus für Kinder Martha-Näbauer-Platz 14,HAUS_FUER_KINDER,Martha-Näbauer-Pl.,14,,80997,München,Allach-Untermenzing,23,48.21074379,11.46453814,19625
LHM,Haus für Kinder Paul-Ehrlich-Weg 18,HAUS_FUER_KINDER,Paul-Ehrlich-Weg,18,,80999,München,Allach-Untermenzing,23,48.19453,11.45351,19795
LHM,Haus für Kinder Pfarrer-Grimm-Str. 5,HAUS_FUER_KINDER,Pfarrer-Grimm-Str.,5,,80999,München,Allach-Untermenzing,23,48.17949,11.4644,19835
LHM,Hort Manzostr. 79,HORT,Manzostr.,79,,80997,München,Allach-Untermenzing,23,48.18361,11.48324,19581
LHM,Hort Schöllstr. 17,HORT,Schöllstr.,17,,80999,München,Allach-Untermenzing,23,48.199718,11.460708,20109
LHM,Hort Zwiedineckstr. 31,HORT,Zwiedineckstr.,31,,80999,München,Allach-Untermenzing,23,48.1790667,11.4651765,20491
LHM,Kindergarten Gruithuisenstr. 8,KINDERGARTEN,Gruithuisenstr.,8,,80997,München,Allach-Untermenzing,23,48.18207,11.48366,19121
LHM,Kindergarten Höcherstr. 11,KINDERGARTEN,Höcherstr.,11,,80999,München,Allach-Untermenzing,23,48.19387,11.46035,19293
LHM,Kindergarten Pasinger Heuweg 58,KINDERGARTEN,Pasinger Heuweg,58,,80999,München,Allach-Untermenzing,23,48.18147,11.4496,19787
LHM,Regionalhort Kupfferstr. 5c,HORT,Kupfferstr.,5,c,80999,München,Allach-Untermenzing,23,48.198209,11.459222,19525
